cero,"0"
cinco,"5"
quince,"15"
cincuenta,"50"
quinientos,"500"
acada hora,каждый час
sabor,вкус
aceite,масло
ajo,чеснок
espejo,mirror
sudadera,толстовка
corbata,галстук
cinturion,ремень
chandal,спортивки или спортивный костюм
delantal,фартук
docena,dozen
joven,young man
el fuego,fire
caro,expensive
barato,cheap
juntos,вместе
casi quatro,почти четыре
¿quánto?,сколько?
¿como?,как?
¿quándo?,когда?
¿quién?,кто?
¿qué?,"что?, какой?"
¿donde?,где?
ahora,now
sonido,sound
dedo,finger
soleado,sunny
mano,hand
cambiar,to change